sample	condition
SA71	untreated
SA70	untreated
SA69	untreated
SA68	untreated
SA67	untreated
SA66	untreated
SA65	untreated
SA64	untreated
SA63	untreated
SA62	untreated
SA61	untreated
SA60	untreated
SA59	untreated
SA58	untreated
SA57	untreated
SA56	untreated
SA55	untreated
SA54	untreated
SA51	untreated
SA50	untreated
SA49	untreated
SA48	untreated
SA47	untreated
SA46	untreated
SA45	untreated
SA44	untreated
SA43	untreated
SA42	untreated
SA40	untreated
SA39	untreated
SA38	untreated
SA37	untreated
SA36	untreated
SA35	untreated
SA34	untreated
SA33	untreated
SA31	untreated
SA30	untreated
SA29	untreated
SA27	untreated
SA25	untreated
SA24	untreated
SA23	untreated
SA22	untreated
SA21	untreated
SA20	untreated
SA19	untreated
SA17	untreated
SA16	untreated
SA15	untreated
SA14	untreated
SA13	untreated
SA12	untreated
SA11	untreated
SA10	untreated
